Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
181325033,Dragonfruit,Makiia Lucier,"Lucier, Makiia",,"=""0358272106""","=""9780358272106""",3,3.93,Clarion Books,Hardcover,356,2024,2024,2024/06/08,2024/06/08,,,read,"Read this book in a day while on the bus to/from DC for a Palestine March to conserve phone battery. Tbh I was pretty sleep deprived so my experience is colored by that. <br/><br/>My main gripe is that I would have liked this book much better as a three+ part series. It crammed such an ambitious story into a relatively small novel. So many characters, overlapping backstories, magical systems , etc. I left the book feeling like most of the ideas were half baked. Because of this I didn’t feel much emotion while reading it. My feelings of sadness or excitement were muted, a fraction of what they would have been if the story and characters were fleshed out",,,2,0
60211228,The Storm We Made,Vanessa  Chan,"Chan, Vanessa",,"=""1668015145""","=""9781668015148""",0,3.90,S&S/ Marysue Rucci Books,Hardcover,352,2024,2024,,2024/06/06,to-read,to-read (#9),to-read,,,,0,0
212131567,Good Son,Kyle Liang,"Liang, Kyle",,"=""1951979583""","=""9781951979584""",5,5.00,Sundress Publications,Paperback,74,2024,,,2024/06/02,to-read,to-read (#8),to-read,"The first poetry book I've read!! Amazing set of poems that span many different facets of the author's life. Each poem was its own journey and I was glad to travel through them all.<br/><br/>This is a book I will definitely return to, and poems that I will continue thinking about long after I read the last page.",,,0,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",5,4.00,Viking,Hardcover,288,2020,2020,2024/06/04,2024/06/04,,,read,"This book deals with themes of regret, yearning, and the feeling that your life is over and you've squandered all potential. I struggle a lot with spending enormous amounts of mental energy thinking through every life I could be living. Even if I'm satisfied with my current life, I mourn the simple fact that I will never be able to experience every possible version of myself.<br/><br/>This book put into words a lot of these feelings, and more than just verbalizing them, offers a new perspective through which I felt genuine hope and excitement about the fact that I have so many possible lives, rather than only dread.<br/><br/>The premise isn't the most original, and the platitudes offered are not entirely groundbreaking, but I loved this story and openly wept as the main character slowly found their way throughout the story.<br/><br/>I also started reading this book while I was in Svalbard which was cool. ",,,1,0
29502379,Another Day in the Death of America: A Chronicle of Ten Short Lives,Gary Younge,"Younge, Gary",,"=""1568589751""","=""9781568589756""",5,4.24,Bold Type Books,Hardcover,267,2016,2016,2024/05/06,2024/05/06,,,read,"One of the best books I've read so far this year. The premise for the book hooked me immediately, and the author delivers well on the premise. Each story is so uniquely tragic, and the author connects them together in ways that show precisely why they are not unique. It shows exactly why our current system is completely unacceptable and that we can and must do better.",,,1,0
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,"=""0062968785""","=""9780062968784""",3,4.02,Harper,Hardcover,368,2020,2018,2024/05/05,2024/05/05,,,read,"This book was pretty good, I think I just feel 3/5 about it because I feel like I've seen/read this type of stuff a million times over the past few years. A collection of essays from a millennial freelance blog writer in various witty formats, with stories of a friends sisters funeral right next to a hungover breakfast recipe. Funny anecdotes from wild nights out, shitty boyfriends, going to therapy, and platonic friendships. <br/><br/>The book was well-written, and I appreciated the focus on the love you find in platonic friendships. There were times that I laughed and cried, and times where I was driven to introspect about my own relationships between partners and friends. However, I feel like this book just joined the ever growing hum of banal self-help advice offered to me by millennials through Tumblr, Youtube, or printed media since I was a teenager. I think had I read this in high school, I would've taken the authors advice as gospel, as she has an enviable air of self-assuredness to her tone of writing. However, at this point in life I can accept that her life experiences are so wildly different from my own. And while I can appreciate the stories she shared and use it to drive my own inner feelings about love and friendship, I shouldn't take any of the advice or lessons too seriously.<br/><br/>Overall - good book, just felt very unoriginal and redundant to many, many pieces of media I've seen/read in the past. This is by no fault of the author, I think Alderton did a great job of telling her stories and reflecting on how they affected her. However, I think I'm just nearing my limit of how many times I can hear a millennial write about how excessive partying in college was not fulfilling and and how therapy helped them feel better etc. However I do think their is value in reflecting in these mundane, unoriginal experiences and romanticizing them to find love in all the places it exists.",,,1,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",4,3.58,Hogarth,Hardcover,188,2016,2007,2024/04/28,2024/04/28,,,read,"average vegan origin story.<br/><br/>Listened to this book while I was walking around Svalbard and it really resonated with me. This is one of those books about someone who is 'crazy' but written in such a way that each step further into insanity is clear and logical, and you're left wondering if you're not the crazy one for going along with society like everyone else.<br/><br/>Like many other readers I'm vegan - and this part of the book resonated a lot. The revulsion that comes with the deep understanding of what it means to eat meat - and the question of how any member of any society can be seen as normal when participating in such an act. I want to be like Yeong-hye and scream at the top of my lungs anytime anyone dares to bring meat anywhere near me, but alas.<br/><br/>The other main theme in this book that stuck out to me was patriarchy. Yeong-hye's husband is a total bitch, a complete disgrace of a human being, but also a figure so common in patriarchal societies that he's sickeningly mundane. The father is not far off, but his patriarchal violence is physical as well as emotional. The brother-in-law is at least somewhat intellectually honest with himself, and questions his desires, although he too becomes controlled by them and causes irreparable harm to everyone in his life.<br/><br/>My only complaint with this book was the ending, but I'm just a hopeful ending kinda guy.",,,1,0
54633167,Lonely Castle in the Mirror,Mizuki Tsujimura,"Tsujimura, Mizuki",,"=""0857527274""","=""9780857527271""",5,4.27,Doubleday,Hardcover,355,2021,2017,2024/04/09,2024/02/06,,,read,"I was talking to the friend that recommended this book to me and I wanted to have some sort of grand insights or nuanced takes about Lonely Castle in the Mirror. But honestly I couldn't come up with beyond just repeating over and over again how much I loved this book and everything about it.<br/><br/>All the characters are written beautifully, with such care from the author. Each member in the found family inside the castle has such depth and is fleshed out in such a way that it makes the ending a well-deserved payoff.  It left me with the same feeling I have after a perfectly portioned meal - neither hungry or bloated, but entirely satisfied. <br/><br/>I was taken back to a time not so long ago where I was a boy wishing to escape inside a fantasy world, and I wish I had this book to give a voice to all of the surprisingly complex feelings and experiences a child can have.<br/><br/>5/5 Please read this book and talk to me about it!!",,,1,0
38310,How Buildings Learn: What Happens After They're Built,Stewart Brand,"Brand, Stewart",,"=""0140139966""","=""9780140139969""",0,4.35,Penguin Books,Paperback,256,1995,1994,,2024/04/18,to-read,to-read (#7),to-read,,,,0,0
17601,"The Will to Change: Men, Masculinity, and Love",bell hooks,"hooks, bell",,"=""0743456084""","=""9780743456081""",4,4.37,Washington Square Press,Mass Market Paperback,208,2004,2003,2024/04/11,2024/04/11,,,read,"This review will not be enough to cover the entirety of my thoughts about this book.<br/><br/>This book came very highly recommended and there was a lot that I really liked - especially in the early chapters. There was a lot of frankness in the writing about masculinity and men in the feminist movement - and a lot of things I had felt before that I had never seen put into words. Something that stood out to me was that men do suffer under the patriarchy in terrible ways - but they are rewarded for it.<br/><br/>However, there was a lot about this book that rang completely false to my lived experience and that of the men in my life. I don't think that means that it makes the book wrong or unhelpful, but it was important for me to approach parts of this book with an open mind, but also accept that many things presented will not be relevant to me or those in my circles.<br/><br/>I do think this book is aimed more towards women than men, but I think that people of any gender can take away a host of things from this book. It helped me introspect on what I value in my life, and how I can hold myself and especially the men in my life to a higher standard. It also gave me a deeper appreciation for the women I have in my life, friends, family and mentors who have shown me love and see me as a complete person.",,,1,0
